name,rank,points,competition,sport_type,result
nool,8,8235,OlympicG,High.jump,1.88
nool,8,8235,OlympicG,400m,48.81
nool,8,8235,OlympicG,110m.hurdle,14.8
nool,8,8235,OlympicG,Discus,42.05
nool,8,8235,OlympicG,Pole.vault,5.4
nool,8,8235,OlympicG,Javeline,61.33
nool,8,8235,OlympicG,1500m,276.33
bernard,9,8225,OlympicG,100m,10.69
bernard,9,8225,OlympicG,Long.jump,7.48
bernard,9,8225,OlympicG,Shot.put,14.8
bernard,9,8225,OlympicG,High.jump,2.12
bernard,9,8225,OlympicG,400m,49.13
bernard,9,8225,OlympicG,110m.hurdle,14.17
bernard,9,8225,OlympicG,Discus,44.75
bernard,9,8225,OlympicG,Pole.vault,4.4
bernard,9,8225,OlympicG,Javeline,55.27
bernard,9,8225,OlympicG,1500m,276.31
schwarzl,10,8102,OlympicG,100m,10.98
schwarzl,10,8102,OlympicG,Long.jump,7.49
schwarzl,10,8102,OlympicG,Shot.put,14.01
schwarzl,10,8102,OlympicG,High.jump,1.94
schwarzl,10,8102,OlympicG,400m,49.76
schwarzl,10,8102,OlympicG,110m.hurdle,14.25
schwarzl,10,8102,OlympicG,Discus,42.43
schwarzl,10,8102,OlympicG,Pole.vault,5.1
schwarzl,10,8102,OlympicG,Javeline,56.32
schwarzl,10,8102,OlympicG,1500m,273.56
pogorelov,11,8084,OlympicG,100m,10.95
pogorelov,11,8084,OlympicG,Long.jump,7.31
pogorelov,11,8084,OlympicG,Shot.put,15.1
pogorelov,11,8084,OlympicG,High.jump,2.06
pogorelov,11,8084,OlympicG,400m,50.79
pogorelov,11,8084,OlympicG,110m.hurdle,14.21
pogorelov,11,8084,OlympicG,Discus,44.6
pogorelov,11,8084,OlympicG,Pole.vault,5
pogorelov,11,8084,OlympicG,Javeline,53.45
pogorelov,11,8084,OlympicG,1500m,287.63
schoenbeck,12,8077,OlympicG,100m,10.9
schoenbeck,12,8077,OlympicG,Long.jump,7.3
schoenbeck,12,8077,OlympicG,Shot.put,14.77
schoenbeck,12,8077,OlympicG,High.jump,1.88
schoenbeck,12,8077,OlympicG,400m,50.3
schoenbeck,12,8077,OlympicG,110m.hurdle,14.34
schoenbeck,12,8077,OlympicG,Discus,44.41
schoenbeck,12,8077,OlympicG,Pole.vault,5
schoenbeck,12,8077,OlympicG,Javeline,60.89
schoenbeck,12,8077,OlympicG,1500m,278.82
barras,13,8067,OlympicG,100m,11.14
barras,13,8067,OlympicG,Long.jump,6.99
barras,13,8067,OlympicG,Shot.put,14.91
barras,13,8067,OlympicG,High.jump,1.94
barras,13,8067,OlympicG,400m,49.41
barras,13,8067,OlympicG,110m.hurdle,14.37
barras,13,8067,OlympicG,Discus,44.83
barras,13,8067,OlympicG,Pole.vault,4.6
barras,13,8067,OlympicG,Javeline,64.55
barras,13,8067,OlympicG,1500m,267.09
smith,14,8023,OlympicG,100m,10.85
smith,14,8023,OlympicG,Long.jump,6.81
smith,14,8023,OlympicG,Shot.put,15.24
smith,14,8023,OlympicG,High.jump,1.91
smith,14,8023,OlympicG,400m,49.27
smith,14,8023,OlympicG,110m.hurdle,14.01
smith,14,8023,OlympicG,Discus,49.02
smith,14,8023,OlympicG,Pole.vault,4.2
smith,14,8023,OlympicG,Javeline,61.52
smith,14,8023,OlympicG,1500m,272.74
averyanov,15,8021,OlympicG,100m,10.55
averyanov,15,8021,OlympicG,Long.jump,7.34
averyanov,15,8021,OlympicG,Shot.put,14.44
averyanov,15,8021,OlympicG,High.jump,1.94
averyanov,15,8021,OlympicG,400m,49.72
averyanov,15,8021,OlympicG,110m.hurdle,14.39
averyanov,15,8021,OlympicG,Discus,39.88
averyanov,15,8021,OlympicG,Pole.vault,4.8
averyanov,15,8021,OlympicG,Javeline,54.51
averyanov,15,8021,OlympicG,1500m,271.02
ojaniemi,16,8006,OlympicG,100m,10.68
ojaniemi,16,8006,OlympicG,Long.jump,7.5
ojaniemi,16,8006,OlympicG,Shot.put,14.97
ojaniemi,16,8006,OlympicG,High.jump,1.94
ojaniemi,16,8006,OlympicG,400m,49.12
ojaniemi,16,8006,OlympicG,110m.hurdle,15.01
ojaniemi,16,8006,OlympicG,Discus,40.35
ojaniemi,16,8006,OlympicG,Pole.vault,4.6
ojaniemi,16,8006,OlympicG,Javeline,59.26
ojaniemi,16,8006,OlympicG,1500m,275.71
smirnov,17,7993,OlympicG,100m,10.89
smirnov,17,7993,OlympicG,Long.jump,7.07
smirnov,17,7993,OlympicG,Shot.put,13.88
smirnov,17,7993,OlympicG,High.jump,1.94
smirnov,17,7993,OlympicG,400m,49.11
smirnov,17,7993,OlympicG,110m.hurdle,14.77
smirnov,17,7993,OlympicG,Discus,42.47
smirnov,17,7993,OlympicG,Pole.vault,4.7
smirnov,17,7993,OlympicG,Javeline,60.88
smirnov,17,7993,OlympicG,1500m,263.31
qi,18,7934,OlympicG,100m,11.06
qi,18,7934,OlympicG,Long.jump,7.34
qi,18,7934,OlympicG,Shot.put,13.55
qi,18,7934,OlympicG,High.jump,1.97
qi,18,7934,OlympicG,400m,49.65
qi,18,7934,OlympicG,110m.hurdle,14.78
qi,18,7934,OlympicG,Discus,45.13
qi,18,7934,OlympicG,Pole.vault,4.5
qi,18,7934,OlympicG,Javeline,60.79
qi,18,7934,OlympicG,1500m,272.63
drews,19,7926,OlympicG,100m,10.87
drews,19,7926,OlympicG,Long.jump,7.38
drews,19,7926,OlympicG,Shot.put,13.07
drews,19,7926,OlympicG,High.jump,1.88
drews,19,7926,OlympicG,400m,48.51
drews,19,7926,OlympicG,110m.hurdle,14.01
drews,19,7926,OlympicG,Discus,40.11
drews,19,7926,OlympicG,Pole.vault,5
drews,19,7926,OlympicG,Javeline,51.53
drews,19,7926,OlympicG,1500m,274.21
parkhomenko,20,7918,OlympicG,100m,11.14
parkhomenko,20,7918,OlympicG,Long.jump,6.61
parkhomenko,20,7918,OlympicG,Shot.put,15.69
parkhomenko,20,7918,OlympicG,High.jump,2.03
parkhomenko,20,7918,OlympicG,400m,51.04
parkhomenko,20,7918,OlympicG,110m.hurdle,14.88
parkhomenko,20,7918,OlympicG,Discus,41.9
parkhomenko,20,7918,OlympicG,Pole.vault,4.8
parkhomenko,20,7918,OlympicG,Javeline,65.82
parkhomenko,20,7918,OlympicG,1500m,277.94
terek,21,7893,OlympicG,100m,10.92
terek,21,7893,OlympicG,Long.jump,6.94
terek,21,7893,OlympicG,Shot.put,15.15
terek,21,7893,OlympicG,High.jump,1.94
terek,21,7893,OlympicG,400m,49.56
terek,21,7893,OlympicG,110m.hurdle,15.12
terek,21,7893,OlympicG,Discus,45.62
terek,21,7893,OlympicG,Pole.vault,5.3
terek,21,7893,OlympicG,Javeline,50.62
terek,21,7893,OlympicG,1500m,290.36
gomez,22,7865,OlympicG,100m,11.08
gomez,22,7865,OlympicG,Long.jump,7.26
gomez,22,7865,OlympicG,Shot.put,14.57
gomez,22,7865,OlympicG,High.jump,1.85
gomez,22,7865,OlympicG,400m,48.61
gomez,22,7865,OlympicG,110m.hurdle,14.41
gomez,22,7865,OlympicG,Discus,40.95
gomez,22,7865,OlympicG,Pole.vault,4.4
gomez,22,7865,OlympicG,Javeline,60.71
gomez,22,7865,OlympicG,1500m,269.7
turi,23,7708,OlympicG,100m,11.08
turi,23,7708,OlympicG,Long.jump,6.91
turi,23,7708,OlympicG,Shot.put,13.62
turi,23,7708,OlympicG,High.jump,2.03
turi,23,7708,OlympicG,400m,51.67
turi,23,7708,OlympicG,110m.hurdle,14.26
turi,23,7708,OlympicG,Discus,39.83
turi,23,7708,OlympicG,Pole.vault,4.8
turi,23,7708,OlympicG,Javeline,59.34
turi,23,7708,OlympicG,1500m,290.01
lorenzo,24,7592,OlympicG,100m,11.1
lorenzo,24,7592,OlympicG,Long.jump,7.03
lorenzo,24,7592,OlympicG,Shot.put,13.22
lorenzo,24,7592,OlympicG,High.jump,1.85
lorenzo,24,7592,OlympicG,400m,49.34
lorenzo,24,7592,OlympicG,110m.hurdle,15.38
lorenzo,24,7592,OlympicG,Discus,40.22
lorenzo,24,7592,OlympicG,Pole.vault,4.5
lorenzo,24,7592,OlympicG,Javeline,58.36
lorenzo,24,7592,OlympicG,1500m,263.08
karlivans,25,7583,OlympicG,100m,11.33
karlivans,25,7583,OlympicG,Long.jump,7.26
karlivans,25,7583,OlympicG,Shot.put,13.3
karlivans,25,7583,OlympicG,High.jump,1.97
karlivans,25,7583,OlympicG,400m,50.54
karlivans,25,7583,OlympicG,110m.hurdle,14.98
karlivans,25,7583,OlympicG,Discus,43.34
karlivans,25,7583,OlympicG,Pole.vault,4.5
karlivans,25,7583,OlympicG,Javeline,52.92
karlivans,25,7583,OlympicG,1500m,278.67
korkizoglou,26,7573,OlympicG,100m,10.86
korkizoglou,26,7573,OlympicG,Long.jump,7.07
korkizoglou,26,7573,OlympicG,Shot.put,14.81
korkizoglou,26,7573,OlympicG,High.jump,1.94
korkizoglou,26,7573,OlympicG,400m,51.16
korkizoglou,26,7573,OlympicG,110m.hurdle,14.96
korkizoglou,26,7573,OlympicG,Discus,46.07
korkizoglou,26,7573,OlympicG,Pole.vault,4.7
korkizoglou,26,7573,OlympicG,Javeline,53.05
korkizoglou,26,7573,OlympicG,1500m,317
uldal,27,7495,OlympicG,100m,11.23
uldal,27,7495,OlympicG,Long.jump,6.99
uldal,27,7495,OlympicG,Shot.put,13.53
uldal,27,7495,OlympicG,High.jump,1.85
uldal,27,7495,OlympicG,400m,50.95
uldal,27,7495,OlympicG,110m.hurdle,15.09
uldal,27,7495,OlympicG,Discus,43.01
uldal,27,7495,OlympicG,Pole.vault,4.5
uldal,27,7495,OlympicG,Javeline,60
uldal,27,7495,OlympicG,1500m,281.7
casarsa,28,7404,OlympicG,100m,11.36
casarsa,28,7404,OlympicG,Long.jump,6.68
casarsa,28,7404,OlympicG,Shot.put,14.92
casarsa,28,7404,OlympicG,High.jump,1.94
casarsa,28,7404,OlympicG,400m,53.2
casarsa,28,7404,OlympicG,110m.hurdle,15.39
casarsa,28,7404,OlympicG,Discus,48.66
casarsa,28,7404,OlympicG,Pole.vault,4.4
casarsa,28,7404,OlympicG,Javeline,58.62
casarsa,28,7404,OlympicG,1500m,296.12
